Subject:  S999_001_00000018.png 	 Label:  1 	 Prediction:  1
Subject:  S999_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S506_001_00000040.png 	 Label:  1 	 Prediction:  5

Subject:  S505_006_00000019.png 	 Label:  6 	 Prediction:  6

Subject:  S504_006_00000018.png 	 Label:  6 	 Prediction:  1

Subject:  S503_001_00000001.png 	 Label:  5 	 Prediction:  1

Subject:  S502_001_00000016.png 	 Label:  1 	 Prediction:  1

Subject:  S501_004_00000056.png 	 Label:  3 	 Prediction:  3
Subject:  S501_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S160_006_00000001.png 	 Label:  5 	 Prediction:  6

Subject:  S154_002_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S151_002_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S138_001_00000012.png 	 Label:  3 	 Prediction:  3
Subject:  S138_005_00000016.png 	 Label:  4 	 Prediction:  4
Subject:  S138_007_00000011.png 	 Label:  6 	 Prediction:  7
Subject:  S138_004_00000013.png 	 Label:  7 	 Prediction:  7

Subject:  S137_005_00000027.png 	 Label:  6 	 Prediction:  1
Subject:  S137_001_00000014.png 	 Label:  7 	 Prediction:  7

Subject:  S136_005_00000010.png 	 Label:  1 	 Prediction:  6

Subject:  S135_001_00000039.png 	 Label:  7 	 Prediction:  7

Subject:  S134_003_00000011.png 	 Label:  1 	 Prediction:  1
Subject:  S134_008_00000013.png 	 Label:  2 	 Prediction:  2
Subject:  S134_004_00000015.png 	 Label:  4 	 Prediction:  4
Subject:  S134_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S133_009_00000006.png 	 Label:  7 	 Prediction:  7

Subject:  S132_006_00000023.png 	 Label:  4 	 Prediction:  4

Subject:  S131_006_00000022.png 	 Label:  4 	 Prediction:  4
Subject:  S131_001_00000016.png 	 Label:  7 	 Prediction:  7

Subject:  S130_013_00000015.png 	 Label:  4 	 Prediction:  4
Subject:  S130_009_00000019.png 	 Label:  6 	 Prediction:  6

Subject:  S127_010_00000018.png 	 Label:  1 	 Prediction:  1
Subject:  S127_004_00000016.png 	 Label:  4 	 Prediction:  4
Subject:  S127_001_00000001.png 	 Label:  5 	 Prediction:  5
Subject:  S127_001_00000017.png 	 Label:  7 	 Prediction:  7

Subject:  S125_005_00000013.png 	 Label:  4 	 Prediction:  4
Subject:  S125_001_00000014.png 	 Label:  6 	 Prediction:  3
Subject:  S125_007_00000009.png 	 Label:  7 	 Prediction:  7

Subject:  S124_003_00000011.png 	 Label:  3 	 Prediction:  3

Subject:  S122_001_00000012.png 	 Label:  7 	 Prediction:  7

Subject:  S119_008_00000018.png 	 Label:  1 	 Prediction:  1

Subject:  S116_001_00000014.png 	 Label:  7 	 Prediction:  7

Subject:  S113_008_00000023.png 	 Label:  1 	 Prediction:  1
Subject:  S113_003_00000015.png 	 Label:  6 	 Prediction:  6

Subject:  S111_001_00000014.png 	 Label:  7 	 Prediction:  7

Subject:  S110_001_00000013.png 	 Label:  7 	 Prediction:  7

Subject:  S109_006_00000015.png 	 Label:  4 	 Prediction:  4

Subject:  S108_006_00000020.png 	 Label:  2 	 Prediction:  2
Subject:  S108_008_00000013.png 	 Label:  4 	 Prediction:  4

Subject:  S107_005_00000011.png 	 Label:  2 	 Prediction:  2
Subject:  S107_001_00000010.png 	 Label:  7 	 Prediction:  7

Subject:  S105_008_00000010.png 	 Label:  2 	 Prediction:  2

